split,group,name,rows,cols,nnz,kind,status,path
full_eval,Bodendiek,CurlCurl_0,11083,11083,113343,model reduction problem,downloaded,data/full_eval_10k_20k/CurlCurl_0.mtx
full_eval,Hohn,sinc18,16428,16428,948696,materials problem,downloaded,data/full_eval_10k_20k/sinc18.mtx
full_eval,Shen,shermanACb,18510,18510,145149,2D/3D problem,downloaded,data/full_eval_10k_20k/shermanACb.mtx
full_eval,Cunningham,m3plates,11107,11107,6639,acoustics problem,downloaded,data/full_eval_10k_20k/m3plates.mtx
full_eval,Pothen,skirt,12598,12598,196520,structural problem,downloaded,data/full_eval_10k_20k/skirt.mtx
full_eval,Hamm,memplus,17758,17758,99147,circuit simulation problem,downloaded,data/full_eval_10k_20k/memplus.mtx
full_eval,GHS_psdef,copter1,17222,17222,211064,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/copter1.mtx
full_eval,Engwirda,airfoil_2d,14214,14214,259688,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/airfoil_2d.mtx
full_eval,TAMU_SmartGridCenter,ACTIVSg10K,20000,20000,135888,power network problem,downloaded,data/full_eval_10k_20k/ACTIVSg10K.mtx
full_eval,ML_Graph,mnist_test_norm_10NN,10000,10000,145600,undirected weighted graph,downloaded,data/full_eval_10k_20k/mnist_test_norm_10NN.mtx
full_eval,vanHeukelum,cage10,11397,11397,150645,directed weighted graph,downloaded,data/full_eval_10k_20k/cage10.mtx
full_eval,Gset,G67,10000,10000,40000,undirected weighted random graph,downloaded,data/full_eval_10k_20k/G67.mtx
full_eval,ND,nd6k,18000,18000,6897316,2D/3D problem,downloaded,data/full_eval_10k_20k/nd6k.mtx
full_eval,Newman,astro-ph,16706,16706,242502,undirected weighted graph,downloaded,data/full_eval_10k_20k/astro-ph.mtx
full_eval,Schenk_IBMNA,c-45,13206,13206,174452,optimization problem,downloaded,data/full_eval_10k_20k/c-45.mtx
full_eval,Andrianov,ex3sta1,16782,16782,678998,optimization problem,downloaded,data/full_eval_10k_20k/ex3sta1.mtx
full_eval,QY,case9,14454,14454,147972,power network problem sequence,downloaded,data/full_eval_10k_20k/case9.mtx
